ward_name,town_code,town_name,date,0～4,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85歳以上,世帯数
葵区,21000,追手町,20030930,8,4,8,11,9,14,22,11,10,17,17,26,19,19,16,11,8,3,113
葵区,21000,追手町,20040930,8,4,6,14,7,11,19,14,12,14,23,25,20,16,21,13,4,5,113
葵区,21000,追手町,20050930,8,6,6,14,10,9,18,15,12,14,22,26,23,16,16,13,5,6,114
葵区,21000,追手町,20060930,4,8,5,14,7,16,13,19,11,14,21,26,18,20,17,12,5,7,116
葵区,21000,追手町,20070930,7,7,3,9,12,13,18,18,12,12,21,20,17,19,18,14,3,8,113
葵区,21000,追手町,20080930,8,4,4,6,8,17,13,17,15,12,17,21,21,20,18,15,4,8,115
葵区,21000,追手町,20090930,11,6,5,5,6,10,20,14,17,15,13,20,18,21,15,17,4,9,114
葵区,21000,追手町,20100930,8,3,8,5,7,11,16,12,13,16,14,16,24,21,14,16,7,7,114
葵区,21000,追手町,20110930,7,3,8,5,6,4,16,12,16,12,14,15,22,18,20,18,9,5,118
葵区,21000,追手町,20120930,4,3,6,3,9,2,11,15,15,13,11,16,19,16,21,18,14,1,113
葵区,21000,追手町,20130930,3,3,4,5,8,8,7,17,13,13,10,13,23,19,19,20,15,2,119
葵区,21000,追手町,20140930,2,4,6,4,5,10,6,16,10,10,10,10,21,21,19,16,18,5,117
葵区,21000,追手町,20150930,2,5,3,3,5,6,11,15,9,7,12,12,14,26,19,15,16,7,116
葵区,21010,城内町,20030930,1,5,2,12,2,1,0,10,6,5,8,6,7,8,10,11,9,7,55
葵区,21010,城内町,20040930,1,4,3,7,4,1,0,7,7,6,6,5,5,8,9,14,6,8,51
葵区,21010,城内町,20050930,1,3,4,7,4,1,1,6,9,4,9,6,5,9,8,8,9,8,52
葵区,21010,城内町,20060930,1,4,3,3,7,3,1,3,12,3,8,10,6,9,6,8,8,12,56
葵区,21010,城内町,20070930,2,4,6,2,6,2,0,2,15,7,6,9,7,7,6,10,8,10,56
葵区,21010,城内町,20080930,3,2,3,2,6,4,0,2,9,7,5,9,7,7,7,9,7,8,52
葵区,21010,城内町,20090930,3,3,3,2,4,4,1,3,7,6,7,7,8,5,9,9,8,7,50
葵区,21010,城内町,20100930,3,3,1,3,4,4,1,1,7,6,6,10,8,6,7,7,5,11,48
葵区,21010,城内町,20110930,3,2,3,3,1,6,2,1,5,8,5,10,8,6,7,6,5,13,49
葵区,21010,城内町,20120930,3,2,3,4,2,6,2,0,4,12,5,6,11,7,5,6,7,14,53
葵区,21010,城内町,20130930,1,4,4,4,2,7,2,0,3,9,9,5,11,7,6,6,8,13,53
葵区,21010,城内町,20140930,1,3,4,5,2,5,3,0,2,8,7,7,8,8,5,7,8,12,49
葵区,21010,城内町,20150930,3,5,3,4,4,3,4,4,1,6,9,7,10,7,6,7,6,11,50
葵区,21020,駿府町,20030930,4,3,5,4,7,9,11,9,5,9,12,17,13,18,12,14,11,7,73
葵区,21020,駿府町,20040930,4,3,5,2,7,10,9,13,4,7,12,17,13,12,17,10,15,8,73
葵区,21020,駿府町,20050930,4,4,3,3,8,7,10,10,7,6,9,15,16,13,15,7,15,7,71
葵区,21020,駿府町,20060930,2,5,3,4,7,7,11,12,6,5,11,12,17,11,17,8,9,9,74
葵区,21020,駿府町,20070930,4,3,5,4,7,6,11,10,7,4,9,12,18,8,17,11,7,10,71
葵区,21020,駿府町,20080930,4,3,3,3,4,8,9,10,6,5,9,11,17,10,16,10,9,10,72
葵区,21020,駿府町,20090930,6,4,5,3,3,8,10,8,7,6,8,12,18,10,10,14,6,10,71
葵区,21020,駿府町,20100930,5,4,4,5,1,7,7,9,7,6,6,9,18,14,10,13,5,8,68
葵区,21020,駿府町,20110930,8,4,4,5,2,8,4,13,8,6,6,9,14,17,8,15,6,8,70
葵区,21020,駿府町,20120930,6,3,3,5,3,4,9,9,11,7,6,8,12,17,6,15,9,8,69
葵区,21020,駿府町,20130930,7,3,6,4,2,3,8,10,12,8,7,9,11,17,8,15,7,10,71
葵区,21020,駿府町,20140930,6,4,7,5,2,1,7,10,10,11,7,13,9,18,10,7,11,10,70
葵区,21020,駿府町,20150930,7,5,6,6,5,0,11,10,13,11,9,11,8,16,12,9,11,8,75
葵区,21030,駿府公園,20030930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葵区,21030,駿府公園,20040930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葵区,21040,西草深町,20030930,48,79,67,66,74,75,100,98,85,100,110,116,105,82,106,99,56,48,625
葵区,21040,西草深町,20040930,52,70,71,64,67,81,95,99,97,89,99,123,107,79,98,109,52,56,628
葵区,21040,西草深町,20050930,46,66,70,65,61,74,90,97,95,90,100,130,116,80,89,109,52,59,634
葵区,21040,西草深町,20060930,43,68,64,65,51,70,76,100,87,89,98,128,114,82,82,113,60,59,621
葵区,21040,西草深町,20070930,38,68,63,71,56,61,74,92,85,95,93,125,105,98,72,102,74,53,610
葵区,21040,西草深町,20080930,36,56,70,65,53,62,62,109,90,85,102,103,109,105,70,97,79,54,610
葵区,21040,西草深町,20090930,40,50,67,65,49,61,60,102,96,91,91,99,112,103,74,87,90,59,607
葵区,21040,西草深町,20100930,43,41,62,62,45,61,60,98,90,89,83,96,116,108,69,77,89,68,594
葵区,21040,西草深町,20110930,43,44,54,60,44,48,65,88,99,75,82,92,113,103,81,69,94,72,591
葵区,21040,西草深町,20120930,37,48,59,55,55,46,78,83,100,77,83,90,116,90,94,61,83,80,603
葵区,21040,西草深町,20130930,40,49,53,60,43,51,74,77,108,84,72,98,104,107,96,59,77,82,611
葵区,21040,西草深町,20140930,30,48,46,56,48,46,64,69,110,80,82,96,98,115,95,64,62,88,604
葵区,21040,西草深町,20150930,35,50,42,56,53,46,59,70,115,77,72,90,96,111,104,61,54,96,599
葵区,21050,東草深町,20030930,19,27,45,35,32,26,38,33,51,38,45,41,58,45,51,35,28,32,271
葵区,21050,東草深町,20040930,21,23,42,31,38,27,40,38,39,39,46,40,54,46,48,43,29,27,268
葵区,21050,東草深町,20050930,17,26,37,29,27,36,39,36,37,39,44,40,51,48,46,42,24,31,263
葵区,21050,東草深町,20060930,16,27,28,27,26,29,40,41,34,42,35,44,44,52,42,38,29,35,263
葵区,21050,東草深町,20070930,17,28,21,33,29,34,31,46,34,52,25,45,41,52,40,45,29,36,268
葵区,21050,東草深町,20080930,20,29,29,32,25,31,29,49,36,46,33,45,42,53,38,46,32,34,275
葵区,21050,東草深町,20090930,19,31,24,29,25,29,25,51,42,40,39,37,43,50,41,44,38,32,271
葵区,21050,東草深町,20100930,18,31,22,28,23,25,18,46,45,36,38,41,41,49,39,43,36,38,263
葵区,21050,東草深町,20110930,11,31,27,26,23,21,20,36,65,31,42,35,42,44,45,38,34,44,263
葵区,21050,東草深町,20120930,9,28,23,22,32,19,28,26,59,32,47,26,47,40,47,36,41,39,265
葵区,21050,東草深町,20130930,13,28,23,23,29,18,32,23,58,36,41,31,42,43,50,33,38,42,262
葵区,21050,東草深町,20140930,14,27,24,19,28,24,29,19,61,39,34,37,36,44,50,37,33,43,263
葵区,21050,東草深町,20150930,10,31,27,20,26,23,20,25,52,51,36,37,38,45,49,40,35,44,274
葵区,21060,水落町,20030930,18,27,41,46,43,52,55,38,38,69,69,64,54,52,50,68,48,44,366
葵区,21060,水落町,20040930,19,32,36,41,45,48,58,34,44,67,57,74,62,44,52,60,47,50,366
葵区,21060,水落町,20050930,23,28,43,33,43,43,48,41,48,56,65,76,62,41,56,51,46,48,350
葵区,21060,水落町,20060930,21,27,38,37,46,45,42,47,42,50,67,77,62,44,50,54,47,52,356
葵区,21060,水落町,20070930,19,23,30,33,56,33,38,50,37,42,64,81,66,38,53,44,58,56,351
葵区,21060,水落町,20080930,23,27,27,38,47,40,42,48,41,44,62,73,69,48,45,42,55,57,359
葵区,21060,水落町,20090930,19,30,31,39,35,44,39,55,43,46,57,64,81,54,40,43,46,61,361
葵区,21060,水落町,20100930,13,29,32,41,32,42,37,48,46,49,51,64,75,58,37,50,41,63,349
葵区,21060,水落町,20110930,13,26,33,35,37,43,47,46,53,39,53,64,80,59,36,45,45,62,365
葵区,21060,水落町,20120930,13,30,35,30,31,38,35,60,60,37,50,65,78,67,32,47,36,71,366
葵区,21060,水落町,20130930,16,29,36,26,27,30,31,48,77,41,45,58,72,68,51,40,41,69,367
葵区,21060,水落町,20140930,22,31,30,31,26,36,41,47,80,38,42,54,62,80,56,40,39,66,377
葵区,21060,水落町,20150930,13,31,29,32,25,28,32,46,65,49,45,53,62,74,59,40,41,64,368
葵区,21070,城東町,20030930,35,74,100,101,103,84,107,103,110,137,177,157,160,136,160,150,106,98,784
葵区,21070,城東町,20040930,47,64,83,100,101,88,107,96,109,130,170,171,168,142,149,150,113,99,798
葵区,21070,城東町,20050930,40,60,81,82,109,91,99,91,110,116,164,193,150,145,144,155,108,103,788
葵区,21070,城東町,20060930,44,64,70,90,97,95,100,97,111,109,158,193,145,149,139,147,118,113,800
葵区,21070,城東町,20070930,46,58,80,95,88,82,97,100,109,113,141,193,144,158,133,138,122,129,810
葵区,21070,城東町,20080930,52,60,82,96,79,91,86,122,99,124,128,180,160,157,132,132,120,130,814
葵区,21070,城東町,20090930,47,69,71,83,80,77,80,128,99,121,120,174,169,158,135,129,119,141,816
葵区,21070,城東町,20100930,40,67,75,86,66,80,75,121,106,123,116,158,185,143,136,129,126,142,811
葵区,21070,城東町,20110930,40,66,77,80,73,67,80,113,112,129,109,144,185,136,139,130,120,149,803
葵区,21070,城東町,20120930,42,68,74,80,72,59,81,109,121,120,112,139,184,133,152,121,119,163,816
葵区,21070,城東町,20130930,41,66,70,84,68,56,84,96,133,107,118,125,170,147,147,119,122,161,811
葵区,21070,城東町,20140930,38,67,77,75,67,48,68,93,132,109,123,107,159,157,153,120,110,168,806
葵区,21070,城東町,20150930,38,63,74,77,64,42,70,87,130,117,128,97,144,180,143,122,112,161,805
葵区,21080,緑町,20030930,21,44,63,42,52,38,36,56,63,53,75,63,40,41,59,47,29,28,324
葵区,21080,緑町,20040930,26,38,62,44,50,41,43,51,66,57,60,63,41,39,53,50,30,26,322
葵区,21080,緑町,20050930,22,35,54,54,34,42,39,48,65,70,47,68,40,43,50,52,27,28,322
葵区,21080,緑町,20060930,27,43,52,51,42,39,38,55,67,64,52,73,45,37,45,54,31,34,333
