ward_name,town_code,town_name,date,0～4,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85歳以上,世帯数
駿河区,21683,南安倍三丁目,20030930,35,10,18,38,34,54,45,40,34,30,53,44,38,51,28,18,18,11,240
駿河区,21683,南安倍三丁目,20040930,34,16,14,35,32,62,57,40,39,29,52,50,37,47,34,22,16,13,251
駿河区,21683,南安倍三丁目,20050930,36,25,12,31,37,50,67,39,41,30,45,57,36,43,35,25,16,11,255
駿河区,21683,南安倍三丁目,20060930,39,28,14,26,35,49,75,49,49,31,37,61,46,41,53,37,18,13,306
駿河区,21683,南安倍三丁目,20070930,28,31,13,23,34,45,71,51,49,33,33,59,45,43,56,44,17,18,312
駿河区,21683,南安倍三丁目,20080930,29,31,11,19,45,42,68,52,43,35,30,56,50,41,54,44,19,23,321
駿河区,21683,南安倍三丁目,20090930,40,31,21,18,39,38,67,62,49,39,28,56,52,39,46,49,34,23,329
駿河区,21683,南安倍三丁目,20100930,35,33,25,14,33,36,60,66,40,45,33,46,61,40,44,47,35,25,329
駿河区,21683,南安倍三丁目,20110930,43,35,23,17,28,43,52,77,43,44,35,36,67,39,36,52,40,27,336
駿河区,21683,南安倍三丁目,20120930,41,28,33,15,33,50,53,83,36,43,38,35,63,39,40,50,39,28,356
駿河区,21683,南安倍三丁目,20130930,37,35,40,19,25,46,45,84,47,49,40,30,56,42,41,52,35,27,356
駿河区,21683,南安倍三丁目,20140930,46,44,35,24,25,55,42,79,54,50,41,32,49,50,44,46,38,35,369
駿河区,21683,南安倍三丁目,20150930,39,44,36,29,20,39,45,63,80,37,44,35,40,58,37,43,40,39,360
駿河区,24800,宮本町,20030930,36,25,23,44,40,42,57,54,46,59,87,68,54,53,44,51,25,14,322
駿河区,24800,宮本町,20040930,42,24,29,31,42,40,61,60,41,51,77,80,49,53,48,47,33,16,326
駿河区,24800,宮本町,20050930,48,21,28,29,38,43,64,55,51,46,62,87,59,40,49,46,35,24,320
駿河区,24800,宮本町,20060930,50,27,31,28,40,46,69,77,58,47,60,104,57,52,49,43,37,28,368
駿河区,24800,宮本町,20070930,52,38,27,27,41,42,75,73,64,49,63,100,62,54,51,39,43,31,380
駿河区,24800,宮本町,20080930,50,40,32,25,34,46,66,72,66,57,59,83,75,58,51,41,45,27,385
駿河区,24800,宮本町,20090930,45,48,25,33,33,47,59,79,72,61,48,78,84,54,51,47,42,30,396
駿河区,24800,宮本町,20100930,43,52,25,31,31,44,56,75,75,69,50,64,94,55,45,46,41,34,402
駿河区,24800,宮本町,20110930,44,50,32,28,25,41,58,61,79,67,49,61,100,48,51,46,36,39,391
駿河区,24800,宮本町,20120930,49,48,45,27,25,38,53,76,78,63,49,66,100,57,50,47,35,44,410
駿河区,24800,宮本町,20130930,47,45,38,33,24,36,49,65,74,66,56,64,83,75,53,43,33,45,403
駿河区,24800,宮本町,20140930,39,44,42,25,36,29,41,63,76,66,60,52,77,83,44,46,39,45,399
